"id"	"location.id"	"x"	"y"	"col.date"	"date"	"col.time"	"time"	"distance"	"direction"	"depth"	"swp"	"swc"
1	19	"886"	"220"	42108	"4/14/2015"	9.916666667	"9:55"	0	NA	14	-0.35	31.93603826
2	19	NA	NA	42108	"4/14/2015"	9.983333333	"9:59"	1	"N"	15	-0.52	34.67910448
3	19	NA	NA	42108	"4/14/2015"	10.03333333	"10:02"	1	"S"	14	0	32.07588956
4	19	NA	NA	42108	"4/14/2015"	10.08333333	"10:05"	2	"S"	16	0	33.20558247
5	19	NA	NA	42108	"4/14/2015"	10.11666667	"10:07"	4	"S"	15	-0.27	34.1228005
6	19	NA	NA	42108	"4/14/2015"	10.16666667	"10:10"	4	"W"	16	-0.09	35.79045692
7	19	NA	NA	42108	"4/14/2015"	10.2	"10:12"	2	"E"	14	-0.67	30.64387917
8	35	"970"	"38"	42108	"4/14/2015"	9.5	"9:30"	0	NA	14	-0.87	29.89599015
9	35	NA	NA	42108	"4/14/2015"	9.533333333	"9:32"	1	"W"	15	-0.72	29.2630854
10	35	NA	NA	42108	"4/14/2015"	9.583333333	"9:35"	1	"E"	14	-0.95	27.93583535
11	35	NA	NA	42108	"4/14/2015"	9.633333333	"9:38"	2	"E"	14	-1.85	29.10861793
12	35	NA	NA	42108	"4/14/2015"	9.666666667	"9:40"	2	"N"	15	-1.49	27.29419272
13	35	NA	NA	42108	"4/14/2015"	9.733333333	"9:44"	4	"E"	14	-0.89	27.93738727
14	35	NA	NA	42108	"4/14/2015"	9.8	"9:48"	4	"S"	14	-1.38	30.12736661
15	55	"873"	"409"	42108	"4/14/2015"	8.933333333	"8:56"	0	NA	15	-0.59	35.34005857
16	55	NA	NA	42108	"4/14/2015"	9	"9:00"	1	"N"	15	-0.23	25.66766416
17	55	NA	NA	42108	"4/14/2015"	9.05	"9:03"	1	"S"	15	0	37.55347944
18	55	NA	NA	42108	"4/14/2015"	9.083333333	"9:05"	2	"S"	16	0	37.24383971
19	55	NA	NA	42108	"4/14/2015"	9.133333333	"9:08"	2	"W"	14	0	32.32743173
20	55	NA	NA	42108	"4/14/2015"	9.183333333	"9:11"	4	"W"	16	-0.28	29.16929427
21	55	NA	NA	42108	"4/14/2015"	9.25	"9:15"	4	"E"	15	-0.29	33.26994752
22	70	"700"	"407"	42108	"4/14/2015"	12.5	"12:30"	0	NA	16	-0.88	31.45714469
23	70	NA	NA	42108	"4/14/2015"	12.58333333	"12:35"	1	"E"	15	-0.83	30.67618077
24	70	NA	NA	42108	"4/14/2015"	12.61666667	"12:37"	1	"S"	17	-0.74	30.97228673
25	70	NA	NA	42108	"4/14/2015"	12.65	"12:39"	2	"S"	15	-1.01	29.32373288
26	70	NA	NA	42108	"4/14/2015"	12.68333333	"12:41"	2	"N"	15	-0.91	29.62846348
27	70	NA	NA	42108	"4/14/2015"	12.71666667	"12:43"	4	"E"	16	-0.78	29.48659994
28	70	NA	NA	42108	"4/14/2015"	12.76666667	"12:46"	4	"W"	17	0	32.5631769
29	135	"131"	"3.5"	42108	"4/14/2015"	11.91666667	"11:55"	0	NA	16	0	34.64117374
30	135	NA	NA	42108	"4/14/2015"	11.96666667	"11:58"	1	"N"	15	-0.03	32.14928409
31	135	NA	NA	42108	"4/14/2015"	12.03333333	"12:02"	1	"W"	15	-0.02	31.19031607
32	135	NA	NA	42108	"4/14/2015"	12.06666667	"12:04"	2	"N"	15	0	34.15939172
33	135	NA	NA	42108	"4/14/2015"	12.11666667	"12:07"	2	"S"	15	0	33.15490567
34	135	NA	NA	42108	"4/14/2015"	12.15	"12:09"	4	"E"	16	0	39.75441788
35	135	NA	NA	42108	"4/14/2015"	12.2	"12:12"	4	"W"	16	0	33.5033394
36	140	"363"	"249"	42108	"4/14/2015"	10.96666667	"10:58"	0	NA	15	0	64.49445067
37	140	NA	NA	42108	"4/14/2015"	11.01666667	"11:01"	2	"S"	17	0	56.02750809
38	140	NA	NA	42108	"4/14/2015"	11.08333333	"11:05"	4	"S"	14	0	45.41254602
39	140	NA	NA	42108	"4/14/2015"	11.11666667	"11:07"	4	"N"	14	-0.31	27.71588501
40	140	NA	NA	42108	"4/14/2015"	11.15	"11:09"	1	"E"	16	0	35.41274885
41	140	NA	NA	42108	"4/14/2015"	11.18333333	"11:11"	2	"E"	16	-0.03	32.38508759
42	140	NA	NA	42108	"4/14/2015"	11.21666667	"11:13"	1	"W"	15	0	48.23849809
43	185	"214.5"	"414.5"	42108	"4/14/2015"	10.53333333	"10:32"	0	NA	16	-0.14	41.08144304
44	185	NA	NA	42108	"4/14/2015"	10.6	"10:36"	1	"S"	17	-0.13	41.32024232
45	185	NA	NA	42108	"4/14/2015"	10.65	"10:39"	1	"E"	16	-0.08	42.23027878
46	185	NA	NA	42108	"4/14/2015"	10.66666667	"10:40"	2	"E"	16	-0.34	40.71460573
