"x"	"y"	"soiltype"
0	0	"AVA"
5	0	"AVA"
10	0	"AVA"
15	0	"AVA"
20	0	"AVA"
25	0	"AVA"
30	0	"AVA"
35	0	"AVA"
40	0	"AVA"
45	0	"AVA"
50	0	"AVA"
55	0	"AVA"
60	0	"AVA"
65	0	"AVA"
70	0	"AVA"
75	0	"AVA"
80	0	"AVA"
85	0	"AVA"
90	0	"AVA"
95	0	"AVA"
100	0	"AVA"
105	0	"AVA"
110	0	"AVA"
115	0	"AVA"
120	0	"AVA"
125	0	"AVA"
130	0	"AVA"
135	0	"AVA"
140	0	"AVA"
145	0	"AVA"
150	0	"AVA"
155	0	"AVA"
160	0	"AVA"
165	0	"AVA"
170	0	"AVA"
175	0	"AVA"
180	0	"AVA"
185	0	"AVA"
190	0	"AVA"
195	0	"AVA"
200	0	"AVA"
205	0	"AVA"
210	0	"AVA"
215	0	"AVA"
220	0	"AVA"
225	0	"AVA"
230	0	"AVA"
235	0	"AVA"
240	0	"AVA"
245	0	"AVA"
250	0	"AVA"
255	0	"AVA"
260	0	"AVA"
265	0	"AVA"
270	0	"AVA"
275	0	"AVA"
280	0	"AVA"
285	0	"AVA"
290	0	"AVA"
295	0	"AVA"
300	0	"AVA"
305	0	"AVA"
310	0	"AVA"
315	0	"AVA"
320	0	"AVA"
325	0	"AVA"
330	0	"AVA"
335	0	"AVA"
340	0	"AVA"
345	0	"AVA"
350	0	"AVA"
355	0	"AVA"
360	0	"AVA"
365	0	"AVA"
370	0	"AVA"
375	0	"AVA"
380	0	"AVA"
385	0	"AVA"
390	0	"AVA"
395	0	"AVA"
400	0	"AVA"
405	0	"AVA"
410	0	"AVA"
415	0	"AVA"
420	0	"AVA"
425	0	"AVA"
430	0	"AVA"
435	0	"AVA"
440	0	"AVA"
445	0	"AVA"
450	0	"AVA"
455	0	"AVA"
460	0	"AVA"
465	0	"AVA"
470	0	"AVA"
475	0	"AVA"
480	0	"AVA"
485	0	"AVA"
490	0	"AVA"
495	0	"AVA"
500	0	"AVA"
505	0	"AVA"
510	0	"AVA"
515	0	"AVA"
520	0	"AVA"
525	0	"AVA"
530	0	"AVA"
535	0	"AVA"
540	0	"AVA"
545	0	"AVA"
550	0	"AVA"
555	0	"AVA"
560	0	"AVA"
565	0	"AVA"
570	0	"AVA"
575	0	"AVA"
580	0	"AVA"
585	0	"AVA"
590	0	"AVA"
595	0	"AVA"
600	0	"AVA"
605	0	"AVA"
610	0	"AVA"
615	0	"AVA"
620	0	"AVA"
625	0	"AVA"
630	0	"AVA"
635	0	"AVA"
640	0	"AVA"
645	0	"AVA"
650	0	"AVA"
655	0	"AVA"
660	0	"AVA"
665	0	"AVA"
670	0	"AVA"
675	0	"AVA"
680	0	"AVA"
685	0	"AVA"
690	0	"AVA"
695	0	"AVA"
700	0	"AVA"
705	0	"AVA"
710	0	"AVA"
715	0	"Marron"
720	0	"Marron"
725	0	"Marron"
730	0	"Marron"
735	0	"Marron"
740	0	"Marron"
745	0	"Marron"
750	0	"Marron"
755	0	"Marron"
760	0	"Marron"
765	0	"Marron"
770	0	"Marron"
775	0	"Marron"
780	0	"Marron"
785	0	"Marron"
790	0	"Marron"
795	0	"Marron"
800	0	"Marron"
805	0	"Marron"
810	0	"Marron"
815	0	"Marron"
820	0	"Marron"
825	0	"Marron"
830	0	"Marron"
835	0	"Marron"
840	0	"Marron"
845	0	"Marron"
850	0	"Marron"
855	0	"Marron"
860	0	"Marron"
865	0	"Marron"
870	0	"Marron"
875	0	"Marron"
880	0	"Marron"
885	0	"Marron"
890	0	"Marron"
895	0	"Marron"
900	0	"Marron"
905	0	"Marron"
910	0	"Marron"
915	0	"Fairchild"
920	0	"Fairchild"
925	0	"Fairchild"
930	0	"Fairchild"
935	0	"Fairchild"
940	0	"Fairchild"
945	0	"Fairchild"
950	0	"Fairchild"
955	0	"Fairchild"
960	0	"Fairchild"
965	0	"Fairchild"
970	0	"Fairchild"
975	0	"Fairchild"
980	0	"Fairchild"
985	0	"Fairchild"
990	0	"Fairchild"
995	0	"Fairchild"
1000	0	"Fairchild"
0	5	"AVA"
5	5	"AVA"
10	5	"AVA"
15	5	"AVA"
20	5	"AVA"
25	5	"AVA"
30	5	"AVA"
35	5	"AVA"
40	5	"AVA"
45	5	"AVA"
50	5	"AVA"
55	5	"AVA"
60	5	"AVA"
65	5	"AVA"
70	5	"AVA"
75	5	"AVA"
80	5	"AVA"
85	5	"AVA"
90	5	"AVA"
95	5	"AVA"
100	5	"AVA"
105	5	"AVA"
110	5	"AVA"
115	5	"AVA"
120	5	"AVA"
125	5	"AVA"
130	5	"AVA"
135	5	"AVA"
140	5	"AVA"
145	5	"AVA"
150	5	"AVA"
155	5	"AVA"
160	5	"AVA"
165	5	"AVA"
170	5	"AVA"
175	5	"AVA"
180	5	"AVA"
185	5	"AVA"
190	5	"AVA"
195	5	"AVA"
200	5	"AVA"
205	5	"AVA"
210	5	"AVA"
215	5	"AVA"
220	5	"AVA"
225	5	"AVA"
230	5	"AVA"
235	5	"AVA"
240	5	"AVA"
245	5	"AVA"
250	5	"AVA"
255	5	"AVA"
260	5	"AVA"
265	5	"AVA"
270	5	"AVA"
275	5	"AVA"
280	5	"AVA"
285	5	"AVA"
290	5	"AVA"
295	5	"AVA"
300	5	"AVA"
305	5	"AVA"
310	5	"AVA"
315	5	"AVA"
320	5	"AVA"
325	5	"AVA"
330	5	"AVA"
335	5	"AVA"
340	5	"AVA"
345	5	"AVA"
350	5	"AVA"
355	5	"AVA"
360	5	"AVA"
365	5	"AVA"
370	5	"AVA"
375	5	"AVA"
380	5	"AVA"
385	5	"AVA"
390	5	"AVA"
395	5	"AVA"
400	5	"AVA"
405	5	"AVA"
410	5	"AVA"
415	5	"AVA"
420	5	"AVA"
425	5	"AVA"
430	5	"AVA"
435	5	"AVA"
440	5	"AVA"
445	5	"AVA"
450	5	"AVA"
455	5	"AVA"
460	5	"AVA"
465	5	"AVA"
470	5	"AVA"
475	5	"AVA"
480	5	"AVA"
485	5	"AVA"
490	5	"AVA"
495	5	"AVA"
500	5	"AVA"
505	5	"AVA"
510	5	"AVA"
515	5	"AVA"
520	5	"AVA"
525	5	"AVA"
530	5	"AVA"
535	5	"AVA"
540	5	"AVA"
545	5	"AVA"
550	5	"AVA"
555	5	"AVA"
560	5	"AVA"
565	5	"AVA"
570	5	"AVA"
575	5	"AVA"
580	5	"AVA"
585	5	"AVA"
590	5	"AVA"
595	5	"AVA"
600	5	"AVA"
605	5	"AVA"
610	5	"AVA"
615	5	"AVA"
620	5	"AVA"
625	5	"AVA"
630	5	"AVA"
635	5	"AVA"
640	5	"AVA"
645	5	"AVA"
650	5	"AVA"
655	5	"AVA"
660	5	"AVA"
665	5	"AVA"
670	5	"AVA"
675	5	"AVA"
680	5	"AVA"
685	5	"AVA"
690	5	"AVA"
695	5	"AVA"
700	5	"AVA"
705	5	"AVA"
710	5	"AVA"
715	5	"AVA"
720	5	"Marron"
725	5	"Marron"
730	5	"Marron"
735	5	"Marron"
740	5	"Marron"
745	5	"Marron"
750	5	"Marron"
755	5	"Marron"
760	5	"Marron"
765	5	"Marron"
770	5	"Marron"
775	5	"Marron"
780	5	"Marron"
785	5	"Marron"
790	5	"Marron"
795	5	"Marron"
800	5	"Marron"
805	5	"Marron"
810	5	"Marron"
815	5	"Marron"
820	5	"Marron"
825	5	"Marron"
830	5	"Marron"
835	5	"Marron"
840	5	"Marron"
845	5	"Marron"
850	5	"Marron"
855	5	"Marron"
860	5	"Marron"
865	5	"Marron"
870	5	"Marron"
875	5	"Marron"
880	5	"Marron"
885	5	"Marron"
890	5	"Marron"
895	5	"Marron"
900	5	"Marron"
905	5	"Marron"
910	5	"Marron"
915	5	"Marron"
920	5	"Fairchild"
925	5	"Fairchild"
930	5	"Fairchild"
935	5	"Fairchild"
940	5	"Fairchild"
945	5	"Fairchild"
950	5	"Fairchild"
955	5	"Fairchild"
960	5	"Fairchild"
965	5	"Fairchild"
970	5	"Fairchild"
975	5	"Fairchild"
980	5	"Fairchild"
985	5	"Fairchild"
990	5	"Fairchild"
995	5	"Fairchild"
1000	5	"Fairchild"
0	10	"AVA"
5	10	"AVA"
10	10	"AVA"
15	10	"AVA"
20	10	"AVA"
25	10	"AVA"
30	10	"AVA"
35	10	"AVA"
40	10	"AVA"
45	10	"AVA"
50	10	"AVA"
55	10	"AVA"
60	10	"AVA"
65	10	"AVA"
70	10	"AVA"
75	10	"AVA"
80	10	"AVA"
85	10	"AVA"
90	10	"AVA"
95	10	"AVA"
100	10	"AVA"
105	10	"AVA"
110	10	"AVA"
115	10	"AVA"
120	10	"AVA"
125	10	"AVA"
130	10	"AVA"
135	10	"AVA"
140	10	"AVA"
145	10	"AVA"
150	10	"AVA"
155	10	"AVA"
160	10	"AVA"
165	10	"AVA"
170	10	"AVA"
175	10	"AVA"
180	10	"AVA"
185	10	"AVA"
190	10	"AVA"
195	10	"AVA"
200	10	"AVA"
205	10	"AVA"
210	10	"AVA"
215	10	"AVA"
220	10	"AVA"
225	10	"AVA"
230	10	"AVA"
235	10	"AVA"
