"x"	"y"	"swp"
2.5	2.5	-0.122929345238095
7.5	2.5	-0.12815128968254
12.5	2.5	-0.193682051587301
17.5	2.5	-0.187622428571428
22.5	2.5	-0.188017273809524
27.5	2.5	-0.191486400793651
32.5	2.5	-0.215125345238095
37.5	2.5	-0.210351023809524
42.5	2.5	-0.210351023809524
47.5	2.5	-0.131041452380952
52.5	2.5	-0.206049706349206
57.5	2.5	-0.204760928571429
62.5	2.5	-0.200888134920635
67.5	2.5	-0.197345484126984
72.5	2.5	-0.191888571428572
77.5	2.5	-0.192278071428572
82.5	2.5	-0.188869773809524
87.5	2.5	-0.182136234126984
92.5	2.5	-0.182136234126984
97.5	2.5	-0.199367888888889
102.5	2.5	-0.229650503968254
107.5	2.5	-0.310681011904762
112.5	2.5	-0.310774047619047
117.5	2.5	-0.312561928571428
122.5	2.5	-0.192480793650794
127.5	2.5	-0.177087226190476
132.5	2.5	-0.177205003968254
137.5	2.5	-0.184080984126984
142.5	2.5	-0.19638521031746
147.5	2.5	-0.196274162698413
152.5	2.5	-0.204984448412698
157.5	2.5	-0.204984448412698
162.5	2.5	-0.196050654761905
167.5	2.5	-0.185734742063492
172.5	2.5	-0.197748265873016
177.5	2.5	-0.197748265873016
182.5	2.5	-0.187482123015873
187.5	2.5	-0.119942547619048
192.5	2.5	-0.118717619047619
197.5	2.5	-0.122476888888889
202.5	2.5	-0.123277615079365
207.5	2.5	-0.12332296031746
212.5	2.5	-0.122677325396825
217.5	2.5	-0.122476888888889
222.5	2.5	-0.124680400793651
227.5	2.5	-0.124103896825397
232.5	2.5	-0.122052138888889
237.5	2.5	-0.120762861111111
242.5	2.5	-0.136482186507937
247.5	2.5	-0.136340186507937
252.5	2.5	-0.155535936507936
257.5	2.5	-0.154168468253968
262.5	2.5	-0.162104496031746
267.5	2.5	-0.159968464285714
272.5	2.5	-0.137753472222222
277.5	2.5	-0.129466777777778
282.5	2.5	-0.131136083333333
287.5	2.5	-0.124382134920635
292.5	2.5	-0.127236492063492
297.5	2.5	-0.123966349206349
302.5	2.5	-0.12361194047619
307.5	2.5	-0.127474281746032
